split,model,fold_id,seed,n,qlike,residual_mse,residual_mae,final_mae,spike_qlike
validation,G0,1,42,11088,0.3400202806128607,0.18005110695502444,0.339746836585552,0.339746834782811,1.0415263596542848
validation,G0,1,123,11088,0.32781052965760155,0.18562320886255135,0.3452958300918904,0.3452958296473752,0.9560970644868728
validation,G0,2,42,11088,0.46773774034484705,0.1761332456138701,0.3368907580705187,0.3368907609543243,2.1395224046925425
validation,G0,2,123,11088,0.4668806836598318,0.19269133039105762,0.35224726659228867,0.352247269853713,1.9309876082830713
validation,G0,3,42,11088,0.30871188394824056,0.11430688782553398,0.2658185170011143,0.26581851490820296,1.368067326521309
validation,G0,3,123,11088,0.30254878154540754,0.11517508894951588,0.2679742951175674,0.2679742936577116,1.305768156499904
validation,G0,4,42,11088,0.32314053461990033,0.1358022780069313,0.29224156290786124,0.2922415633781304,1.432123304138698
validation,G0,4,123,11088,0.3188246760913311,0.1352220924841504,0.2912423554062772,0.29124235603716464,1.4082888949049137
validation,G1,1,42,11088,0.342839177670469,0.1704299874407432,0.32928990123261387,0.3292899008996215,1.1602065437316347
validation,G1,1,123,11088,0.3335774411004446,0.1853117550031615,0.34479840291626856,0.34479840237426895,0.9793360705213208
validation,G1,2,42,11088,0.4911925563586115,0.1703244718213745,0.3293749435101699,0.32937494432083286,2.3480066799067587
validation,G1,2,123,11088,0.4810217764548909,0.17500621492589868,0.3353216216522449,0.3353216222569368,2.22799344274005
validation,G1,3,42,11088,0.31747304949919886,0.1169374926178727,0.26935197254727156,0.26935197090431723,1.3983789309728705
validation,G1,3,123,11088,0.31685452945604003,0.11663026727792171,0.2690882017971701,0.2690882005474784,1.4169583266027592
validation,G1,4,42,11088,0.32432728633940294,0.133986675303037,0.28992390484298686,0.28992390525117406,1.464974291208663
validation,G1,4,123,11088,0.3198050992961924,0.13309138365854126,0.28899045471976753,0.28899045585295857,1.4284886068427067
validation,G2,1,42,22176,0.342478155526991,0.16952683897925147,0.3282411707208564,0.3282411704525287,1.167757476787336
validation,G2,1,123,22176,0.3325832433629466,0.18491629719491792,0.34420030593274226,0.3442003054794295,0.9739372377388436
validation,G2,2,42,22176,0.49168389622087816,0.1706616787954417,0.3296558873726138,0.329655888233694,2.3411651579580166
validation,G2,2,123,22176,0.4803340235375231,0.18084425667169457,0.3405579946971284,0.3405579966513109,2.162053698254298
validation,G2,3,42,22176,0.3173415471051109,0.11706037121247079,0.269669721735495,0.2696697198252313,1.3923236957998695
validation,G2,3,123,22176,0.31583305039999393,0.11630441747059014,0.2687869202397253,0.2687869191728801,1.4127191538300201
validation,G2,4,42,22176,0.3242398828294,0.13419632646806687,0.2900333041244643,0.2900333046526104,1.4601016260020663
validation,G2,4,123,22176,0.32166928828181546,0.1337997755414462,0.2897971513459727,0.28979715282395807,1.4341841225193115
validation,G5,1,42,22176,0.3205409591817983,0.1723387422156329,0.331548752259146,0.3315487513036439,0.997026490217337
validation,G5,1,123,22176,0.3448400792575723,0.190616255728105,0.3493425474846352,0.34934254805591025,1.0553830540235978
validation,G5,2,42,22176,0.45512148362170096,0.17124608028873753,0.3312559114794493,0.3312559132538145,2.07426322339641
validation,G5,2,123,22176,0.48485352216446,0.17817368519360766,0.33772404447234183,0.33772404813362233,2.2407720758084007
validation,G5,3,42,22176,0.3010734636796564,0.11468469088733832,0.26773562181428723,0.2677356203504627,1.3019744271017615
validation,G5,3,123,22176,0.32410680382570545,0.11780905694985488,0.2692949144995423,0.26929491265941663,1.482772054811846
validation,G5,4,42,22176,0.3171930241416369,0.13333267753668313,0.2895343177462412,0.2895343183159484,1.4021000120001046
validation,G5,4,123,22176,0.31968356828058986,0.1335018316470438,0.2893626447605502,0.28936264545671525,1.4264039354060862
