split,model,n,qlike,residual_mse,residual_mae,final_mae,spike_qlike
test,G5,20240,0.27281016055143886,0.1309141384957837,0.2866574400222134,0.2866574400734053,1.0773080267897253
validation,G0,88704,0.35695938881000255,0.15437565488607938,0.3114321777216338,0.3114321779024291,1.4471960742254115
validation,G1,88704,0.36588636452190626,0.15021478100606883,0.30701742540231164,0.30701742530094855,1.5523486732071055
validation,G2,177408,0.36577038590808236,0.15091374529173496,0.3076178070211248,0.30761780716145537,1.54235475487226
validation,G5,177408,0.35842661301914003,0.15146287755587542,0.3082248443145242,0.30822484469119177,1.4969754207788741
