split,model,ticker,n,qlike,residual_mse,residual_mae,final_mae,spike_qlike
test,G5,ADI,1840,0.245698957582867,0.12422689547953454,0.27511641466863573,0.2751164109810539,3.544767736049354
test,G5,AMAT,1840,0.24573126572760992,0.1311084101086435,0.2926107539073121,0.2926107502501944,0.8924835929331416
test,G5,AMD,1840,0.26214654217387867,0.11898253764202701,0.27470106248745096,0.27470105419988217,0.5154286735673008
test,G5,AVGO,1840,0.46698158778221466,0.14869095252991552,0.30137575477864353,0.30137575229872826,4.767080027562406
test,G5,INTC,1840,0.3543180107654712,0.14250367165656977,0.2951629100354773,0.29516292292138807,1.5261395494628824
test,G5,KLAC,1840,0.26735748555756433,0.1403839412865558,0.29842170318917616,0.2984217052874358,1.0444724952320692
test,G5,LRCX,1840,0.2230616084626757,0.12335463965690512,0.2852483851418504,0.2852483878964963,0.7201113197362283
test,G5,MU,1840,0.2456057870893555,0.14079391674469816,0.29718878246627434,0.2971887808779012,0.7482415898287844
test,G5,NVDA,1840,0.2453265969692266,0.12227846055097652,0.27998393817232803,0.2799839484950771,0.5827121643332892
test,G5,QCOM,1840,0.23359023985806276,0.1337907034834787,0.2872226234780733,0.2872226160505544,1.3873156797843889
test,G5,TXN,1840,0.21109368409690105,0.11394139431431605,0.26619951191912505,0.2661995115487472,3.080005283447206
validation,G0,ADI,8064,0.3307670057447037,0.15085515441537933,0.30791728345655456,0.3079172894062977,2.9638542783490363
validation,G0,AMAT,8064,0.34204296444151205,0.14559381456865347,0.30477886129591614,0.3047788676820577,1.3167435643867513
validation,G0,AMD,8064,0.334944431127853,0.1442589074092994,0.29800616946407005,0.29800617159713827,0.8910030957078979
validation,G0,AVGO,8064,0.3473645455287128,0.15925952047706363,0.31712653573398825,0.31712653316439143,2.7340793300755704
validation,G0,INTC,8064,0.3279699014488612,0.15103729637136126,0.31202081310871904,0.3120208140758295,2.237048271763162
validation,G0,KLAC,8064,0.37383677349854144,0.15549169998354856,0.31210078963123944,0.3121007871887987,1.932672642503732
validation,G0,LRCX,8064,0.35310521646395593,0.1584784372312122,0.3127488839212934,0.31274887827771997,1.2348240512667938
validation,G0,MU,8064,0.3184518334471484,0.146612842022561,0.3102523154137572,0.3102523146699818,1.072147288868793
validation,G0,NVDA,8064,0.4710476457995072,0.16849337868798803,0.32144060153704745,0.3214406045892882,1.344030808754761
validation,G0,QCOM,8064,0.4002541637493252,0.16884016143792374,0.3230402246758226,0.3230402229560746,2.801406563313562
validation,G0,TXN,8064,0.32676879565990746,0.1492109911418826,0.30632147669956294,0.30632147331914256,3.445582778638772
validation,G1,ADI,8064,0.33861898686637293,0.14597827164841573,0.3034543959671785,0.3034544020359005,3.1205455982573107
validation,G1,AMAT,8064,0.35133235484789566,0.1441632835018893,0.30290475531851296,0.30290476093807867,1.417795108726673
validation,G1,AMD,8064,0.33574664161707485,0.1392344162681556,0.2918796850873396,0.2918796868669608,0.9348126229825067
validation,G1,AVGO,8064,0.35069629176858114,0.1526055930229037,0.3114885440337015,0.31148854078399757,2.8642343063989286
validation,G1,INTC,8064,0.3378795470606921,0.14702949342461977,0.30741708330040074,0.30741708462555256,2.453563970518802
validation,G1,KLAC,8064,0.3876192459542283,0.15161273140007064,0.3077985906014556,0.307798589003228,2.090155161289267
validation,G1,LRCX,8064,0.3676327422676216,0.15647765318826856,0.3115532621996242,0.31155325416179874,1.351198715502338
validation,G1,MU,8064,0.3171073619492262,0.14040822922699314,0.3025792848881237,0.3025792840099524,1.1270004541825995
validation,G1,NVDA,8064,0.4942241532468938,0.167294772154959,0.3188442675855312,0.3188442700498161,1.4675197630843735
validation,G1,QCOM,8064,0.41123539126028125,0.16296247642245693,0.3178017036624234,0.3178017025310842,2.978375269551398
validation,G1,TXN,8064,0.3326572929021013,0.14459567080802457,0.30147010678113667,0.3014701033040645,3.672381943359324
validation,G2,ADI,16128,0.3390669258939765,0.1471457099196469,0.3045380159237615,0.3045380226824255,3.096726204351449
validation,G2,AMAT,16128,0.3540753633202357,0.1451964219874116,0.30401727569344816,0.3040172808788835,1.4210181185388704
validation,G2,AMD,16128,0.33549266978380254,0.1398705902508993,0.29243815354018604,0.29243815574972404,0.9279886267240909
validation,G2,AVGO,16128,0.3499939971967292,0.1530612664882389,0.3116354171415662,0.3116354143601798,2.8453375782113146
validation,G2,INTC,16128,0.33805510197724,0.1480801464920351,0.30826408693067403,0.30826408890563817,2.446474555269418
validation,G2,KLAC,16128,0.38643907191171184,0.15206493552312528,0.30804926031852653,0.30804925901253544,2.0745470854591845
validation,G2,LRCX,16128,0.3682501805210653,0.1572056665664583,0.3119523923046905,0.3119523851940083,1.3489572681704434
validation,G2,MU,16128,0.3175555276539922,0.1412408681773678,0.30371740836860933,0.3037174070283534,1.1179412979906143
validation,G2,NVDA,16128,0.4913617134246962,0.167439974301342,0.3190320086205022,0.3190320117753886,1.4514502538053877
validation,G2,QCOM,16128,0.4105839283068502,0.1639281979403277,0.31874814565326015,0.31874814444768523,2.9618149570114314
validation,G2,TXN,16128,0.3325997649986064,0.14481742056223165,0.3014037127371477,0.3014037087411871,3.630415145052256
validation,G5,ADI,16128,0.334042362713993,0.1470784580211959,0.304144050300471,0.3041440558782409,3.222727176525688
validation,G5,AMAT,16128,0.33861215508128706,0.14275319282439206,0.3014437202535729,0.3014437269182905,1.3508744252557874
validation,G5,AMD,16128,0.3333345568067501,0.14215083734194764,0.2958174855566612,0.29581748735573554,0.8998534282106032
validation,G5,AVGO,16128,0.34776516388353157,0.1550375528255828,0.31375637560002484,0.3137563717448049,2.770971743586188
validation,G5,INTC,16128,0.3273258642758897,0.1486838472035736,0.30995295375603366,0.30995295553039465,2.295451506161854
validation,G5,KLAC,16128,0.37821683319169985,0.15288352265587182,0.30813282517362767,0.30813282376362217,2.0106978665147714
validation,G5,LRCX,16128,0.3572914762844505,0.15649252271006725,0.31090286466738576,0.3109028579755908,1.29596489615586
validation,G5,MU,16128,0.3213465812500443,0.14326057059482003,0.3055357054099767,0.3055357052131541,1.1459689674124476
validation,G5,NVDA,16128,0.47162276281637766,0.16566281480177997,0.3181617559613126,0.3181617602498995,1.3732458840875466
validation,G5,QCOM,16128,0.4043733530662609,0.16493731264024,0.3183189849708935,0.318318983244281,2.929248911582849
validation,G5,TXN,16128,0.32876163384025575,0.14715102149515835,0.30430656580980603,0.3043065637290951,3.5685927651087326
