horizon,model,qlike,rank,loss_diff_vs_last_value,win_rate_vs_last_value,dm_stat_vs_last_value,dm_pvalue_vs_last_value,loss_diff_vs_har_ols,win_rate_vs_har_ols,dm_stat_vs_har_ols,dm_pvalue_vs_har_ols,holm_pvalue_vs_last_value,holm_pvalue_vs_har_ols
1,B4_HAR_Ridge,0.254904444513105,1,-0.1972135172399525,0.6363636363636364,-12.540170816451525,0.0,-0.000188517630471,0.4976457805143064,-0.5462253465347494,0.5849110451482218,0.0,1.0
1,B3_HAR_OLS,0.2550929621435761,2,-0.1970249996094815,0.6385367620427381,-12.581741833631217,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,B2_AR,0.2585913806255698,3,-0.1935265811274878,0.6363636363636364,-12.409365881917449,0.0,0.0034984184819936,0.4889532777978993,1.689667254543474,0.0910916312728173,0.0,0.2732748938184521
1,B6_Linear,0.2608613680223303,4,-0.1912565937307272,0.6236870699022093,-11.967270278597969,0.0,0.0057684058787542,0.4730170228178196,2.36445603758016,0.0180565702640345,0.0,0.072226281056138
1,B7_DLinear,0.2896693758384033,5,-0.1624485859146542,0.5251720391162622,-8.839882881653612,0.0,0.0345764136948272,0.3976819992756247,5.910635415766125,3.407905513341802e-09,0.0,2.044743308005081e-08
1,B0_TickerMean,0.2968326118018191,6,-0.1552853499512385,0.5407461064831582,-6.207766152896051,5.374303224670031e-10,0.0417396496582429,0.4139804418688881,2.9887884019343622,0.0028008602794202,2.6871516123350148e-09,0.0140043013971014
1,B0_GlobalMean,0.3286135504898698,7,-0.1235044112631878,0.517566099239406,-5.405849879088068,6.450180500827686e-08,0.0735205883462937,0.3947844983701557,6.293878051927781,3.096312095607345e-10,2.580072200331074e-07,2.1674184669251413e-09
1,B1_LastValue,0.4521179617530576,8,0.0,0.0,0.0,1.0,0.1970249996094815,0.3614632379572619,12.581741833631217,0.0,1.0,0.0
1,B5_GARCH_Family,0.4789461894942028,9,0.0268282277411452,0.3288663527707352,1.1939194010645728,0.2325094975718586,0.2238532273506267,0.2383194494748279,15.78179034070101,0.0,0.4650189951437173,0.0
1,B6_MLP,0.8946202664967097,10,0.442502304743652,0.3741398044186889,4.3637400253147245,1.2785751150712343e-05,0.6395273043531335,0.2872147772546179,6.4558734351051,1.0759659829773227e-10,3.835725345213703e-05,8.607727863818582e-10
5,B4_HAR_Ridge,0.2873206679170197,1,-0.2320482531273696,0.631578947368421,-12.546376395900031,0.0,-0.0009367974221059,0.5200588884799411,-2.1015784607033243,0.0355902183056888,0.0,0.1067706549170666
5,B3_HAR_OLS,0.2882574653391257,2,-0.2311114557052636,0.6304747883695252,-12.456181307787354,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,B2_AR,0.293000610288858,3,-0.2263683107555313,0.6220095693779905,-11.987501440931265,0.0,0.0047431449497322,0.4836216415163784,2.3800045911415872,0.0173124223513319,0.0,0.0839924963769955
5,B6_Linear,0.2947248497105608,4,-0.2246440713338284,0.6175929333824071,-11.778261504982442,0.0,0.0064673843714351,0.4637467795362532,2.3910885832853297,0.0167984992753991,0.0,0.0839924963769955
5,B0_TickerMean,0.2984737268360897,5,-0.2208951942082995,0.576002944423997,-10.004708379054346,0.0,0.010216261496964,0.4287817445712182,1.216321892407377,0.2238623250441491,0.0,0.4477246500882983
5,B7_DLinear,0.3185872652656826,6,-0.2007816557787066,0.542142068457858,-9.259095057634472,0.0,0.0303297999265569,0.389032020610968,2.817394245630689,0.004841505590772,0.0,0.03385633862018
5,B0_GlobalMean,0.3299362762958273,7,-0.189432644748562,0.5432462274567538,-7.532975095763641,4.951594689828198e-14,0.0416788109567015,0.4085388295914611,2.817718469358689,0.0048366198028828,1.9806378759312798e-13,0.03385633862018
5,B5_GARCH_Family,0.4864900942434476,8,-0.0328788268009417,0.3566433566433566,-1.070012616742186,0.2846136297038519,0.1982326289043219,0.228560912771439,8.727420116032302,0.0,0.5692272594077039,0.0
5,B1_LastValue,0.5193689210443894,9,0.0,0.0,0.0,1.0,0.2311114557052636,0.3695252116304748,12.456181307787354,0.0,1.0,0.0
5,B6_MLP,0.8487724052806025,10,0.329403484236213,0.3857195436142804,3.309627451715219,0.0009342022326281,0.5605149399414766,0.2881854987118145,5.664135973717637,1.4776720069775706e-08,0.0028026066978845,1.1821376055820565e-07
10,B0_TickerMean,0.2987920805137139,1,-0.2987318296581944,0.5905334335086401,-7.682710836285666,1.554312234475219e-14,-0.0022149653716332,0.4342599549211119,-0.1992787816992858,0.8420446760499847,9.325873406851316e-14,1.0
10,B4_HAR_Ridge,0.3005828292374218,2,-0.2969410809344866,0.6450037565740045,-9.978683346212884,0.0,-0.0004242166479254,0.4996243425995492,-1.1480972336753523,0.2509284260564262,0.0,1.0
10,B3_HAR_OLS,0.3010070458853472,3,-0.2965168642865611,0.6435011269722013,-9.96194689663683,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,B6_Linear,0.3023134531871914,4,-0.295210456984717,0.6329827197595793,-9.734350207157716,0.0,0.0013064073018441,0.4808414725770097,0.5466202851519091,0.5846396298674863,0.0,1.0
10,B2_AR,0.3030329579613495,5,-0.2944909522105589,0.6359879789631856,-9.959907144156322,0.0,0.0020259120760022,0.4898572501878287,1.043915263145325,0.2965245958557796,0.0,1.0
10,B0_GlobalMean,0.3300547481328139,6,-0.2674691620390944,0.5634861006761833,-5.776079887986227,7.646107968994897e-09,0.0290477022474667,0.4214876033057851,1.4452569110304787,0.1483857361367566,3.058443187597959e-08,0.8903144168205399
10,B7_DLinear,0.3313778279254465,7,-0.2661460822464618,0.5439519158527423,-5.902908120627325,3.5714919910390112e-09,0.0303707820400993,0.3846731780616078,1.6726148649660717,0.0944031386516763,1.7857459955195054e-08,0.6608219705617346
10,B5_GARCH_Family,0.4957833958853995,8,-0.1017405142865088,0.3508640120210368,-1.8792061867493488,0.0602163452097412,0.1947763500000523,0.2212622088655146,6.920292305199325,4.5070613907682855e-12,0.1204326904194825,4.056355251691457e-11
10,B1_LastValue,0.5975239101719083,9,0.0,0.0,0.0,1.0,0.2965168642865611,0.3564988730277986,9.96194689663683,0.0,1.0,0.0
10,B6_MLP,0.8270238954453708,10,0.2294999852734624,0.4064613072877536,2.2360966711816306,0.0253454394636256,0.5260168495600236,0.2858752817430503,5.653392734752721,1.573112995423287e-08,0.0760363183908769,1.2584903963386296e-07
22,B2_AR,0.2791138772917299,1,-0.2901316845822617,0.6312252964426878,-11.744637675370546,0.0,-0.0016358343485911,0.4861660079051383,-0.5800258786057816,0.5618971664344126,0.0,1.0
22,B4_HAR_Ridge,0.2803673477891711,2,-0.2888782140848205,0.6308300395256917,-12.123936339929188,0.0,-0.0003823638511499,0.4446640316205533,-0.8674469871738292,0.385697146356879,0.0,1.0
22,B3_HAR_OLS,0.2807497116403211,3,-0.2884958502336705,0.6312252964426878,-12.19977738840164,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22,B6_Linear,0.2813440589180636,4,-0.287901502955928,0.6225296442687747,-11.761678238911774,0.0,0.0005943472777425,0.491699604743083,0.2937062452029649,0.7689823817092907,0.0,1.0
22,B0_TickerMean,0.2925428020981937,5,-0.2767027597757979,0.5984189723320158,-10.043423748392769,0.0,0.0117930904578726,0.4047430830039525,1.9475291273722293,0.0514713312240118,0.0,0.2573566561200591
