,count,mean,std,min,25%,50%,75%,max,missing
logvol_gk,130390.0,-4.355271279539377,0.5177732287577516,-13.815510557964274,-4.7090974558830005,-4.3831799254535095,-4.034337605103116,-1.2361923831564023,0
logvol_rs,130390.0,-4.3731354270197285,0.5738905108168902,-13.815510557964274,-4.727718814804399,-4.389386078844243,-4.035047535958576,-1.0356300114878603,0
squared_return,130280.0,0.00048634434831468763,0.0019748797065117178,0.0,1.5711701792292596e-05,8.999632969768063e-05,0.00034902302160774067,0.1980879152506707,110
absolute_return,130280.0,0.014283002447019962,0.016803046051522923,0.0,0.003963798908665125,0.009486639536594805,0.018682157838162506,0.4450706856788826,110
