model,ticker,horizon,n,qlike,mse,rmse,mae,pearson,spearman,qlike_spike_days,qlike_normal_days,pred_exp_clip_count,training_time_sec,inference_time_sec
B0_GlobalMean,ADI,1,251,0.3027550868735499,0.21180159893515588,0.4602190771091045,0.37352986660892246,,,2.8031991193151105,0.28267119906277427,0,0.00011929997708648443,0.0
B0_GlobalMean,ADI,5,247,0.3045157295781551,0.21334082642841073,0.4618883267938374,0.37398918454496294,,,2.7994456428226586,0.28414895477615915,0,0.0001379000023007393,0.0
B0_GlobalMean,ADI,10,242,0.31026446210430103,0.21790574718852698,0.4668037566135549,0.37933243133091776,,,4.395398639235368,0.2933136978838402,0,0.00010710000060498714,0.0
B0_GlobalMean,ADI,22,230,0.31692231125988723,0.22273395586522365,0.47194698416795045,0.3860632267736486,,,4.339061280757392,0.2993583856288938,0,0.00010369997471570969,0.0
B0_GlobalMean,AMAT,1,251,0.23975085114346736,0.13032044161512024,0.3609992266129115,0.2954306503648911,,,1.6325627298510974,0.21144166661688948,0,0.00011929997708648443,0.0
B0_GlobalMean,AMAT,5,247,0.24152998471691242,0.13120340941379258,0.36222011182952357,0.2966906694056012,,,1.6300046180144456,0.21284249229340968,0,0.0001379000023007393,0.0
B0_GlobalMean,AMAT,10,242,0.23913860671907225,0.13103327628791955,0.3619851879399481,0.2955570341717249,,,1.6161002964903617,0.21008878204035306,0,0.00010710000060498714,0.0
B0_GlobalMean,AMAT,22,230,0.23982684171720034,0.1345417651891596,0.36679935276545894,0.29997258410138045,,,1.7359376741668164,0.220054451861038,0,0.00010369997471570969,0.0
B0_GlobalMean,AMD,1,251,0.5672217052296311,0.16754591751017306,0.4093237319166494,0.32281398088122815,,,2.8423710122973787,0.24663248468826662,0,0.00011929997708648443,0.0
B0_GlobalMean,AMD,5,247,0.575179726866171,0.16990049130299725,0.41218987287777614,0.32632957084874803,,,2.8385989166257573,0.2503371579654895,0,0.0001379000023007393,0.0
B0_GlobalMean,AMD,10,242,0.5747815928266139,0.1698432318104399,0.412120409359255,0.3263108843890611,,,2.8672887909831384,0.250370196861068,0,0.00010710000060498714,0.0
B0_GlobalMean,AMD,22,230,0.5502623311818339,0.16372974016171085,0.404635317491826,0.31917295592416683,,,2.851568635603946,0.24417725620943478,0,0.00010369997471570969,0.0
B0_GlobalMean,AVGO,1,251,0.43058846920370336,0.21451078147686023,0.4631530864378,0.37698258378967076,,,6.326513301969503,0.2861984732992348,0,0.00011929997708648443,0.0
B0_GlobalMean,AVGO,5,247,0.4273765029684075,0.20938461182871643,0.45758563332857866,0.37311849411888404,,,6.319661346305061,0.2806806147525572,0,0.0001379000023007393,0.0
