base_split,n,median_acf_energy_reduction,median_lfr_reduction,median_variance_ratio,max_abs_mean_residual
test,2772,0.34204452173309097,0.7512598097185722,0.913117441353535,0.044306567328899926
train,473,0.023754764215174973,0.6672098062646608,0.8813133135185649,0.06295560122277873
validation,5544,0.8496299650746544,0.8263794217310032,0.7469344775304003,0.03213012092392732
