horizon,model,qlike,rank,loss_diff_vs_last_value,win_rate_vs_last_value,dm_stat_vs_last_value,dm_pvalue_vs_last_value,loss_diff_vs_har_ols,win_rate_vs_har_ols,dm_stat_vs_har_ols,dm_pvalue_vs_har_ols,holm_pvalue_vs_last_value,holm_pvalue_vs_har_ols
1,B4_HAR_Ridge,0.254904444513105,1,-0.19721351723995253,0.6363636363636364,-12.540170816451523,0.0,-0.00018851763047107094,0.4976457805143064,-0.5462253465347494,0.5849110451482218,0.0,1.0
1,B3_HAR_OLS,0.25509296214357613,2,-0.1970249996094815,0.6385367620427381,-12.581741833631215,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,B2_AR,0.2585913806255698,3,-0.19352658112748783,0.6363636363636364,-12.409365881917447,0.0,0.003498418481993672,0.4889532777978993,1.6896672545434739,0.09109163127281739,0.0,0.27327489381845216
1,B6_Linear,0.26086136802233034,4,-0.19125659373072726,0.6236870699022093,-11.967270278597967,0.0,0.0057684058787542255,0.47301702281781965,2.36445603758016,0.01805657026403451,0.0,0.07222628105613804
1,B7_DLinear,0.28966937583840335,5,-0.16244858591465428,0.5251720391162622,-8.839882881653612,0.0,0.034576413694827245,0.39768199927562475,5.910635415766125,3.4079055133418024e-09,0.0,2.0447433080050814e-08
1,B0_TickerMean,0.2968326118018191,6,-0.15528534995123858,0.5407461064831582,-6.207766152896051,5.37430322467003e-10,0.041739649658242936,0.4139804418688881,2.9887884019343622,0.002800860279420281,2.6871516123350148e-09,0.014004301397101404
1,B0_GlobalMean,0.32861355048986984,7,-0.1235044112631878,0.517566099239406,-5.405849879088068,6.450180500827685e-08,0.07352058834629371,0.3947844983701557,6.293878051927781,3.0963120956073453e-10,2.580072200331074e-07,2.1674184669251417e-09
1,B1_LastValue,0.45211796175305763,8,0.0,0.0,0.0,1.0,0.1970249996094815,0.3614632379572619,12.581741833631215,0.0,1.0,0.0
1,B5_GARCH_Family,0.47894618949420287,9,0.026828227741145266,0.3288663527707352,1.1939194010645728,0.23250949757185868,0.22385322735062674,0.23831944947482797,15.78179034070101,0.0,0.46501899514371736,0.0
1,B6_MLP,0.8946202664967097,10,0.442502304743652,0.3741398044186889,4.3637400253147245,1.2785751150712343e-05,0.6395273043531335,0.2872147772546179,6.4558734351051,1.0759659829773227e-10,3.835725345213703e-05,8.607727863818582e-10
5,B4_HAR_Ridge,0.28732066791701977,1,-0.23204825312736962,0.631578947368421,-12.546376395900031,0.0,-0.0009367974221059945,0.5200588884799411,-2.1015784607033243,0.03559021830568887,0.0,0.10677065491706661
5,B3_HAR_OLS,0.2882574653391257,2,-0.23111145570526362,0.6304747883695252,-12.456181307787354,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,B2_AR,0.29300061028885804,3,-0.22636831075553138,0.6220095693779905,-11.987501440931265,0.0,0.004743144949732277,0.4836216415163784,2.3800045911415872,0.017312422351331902,0.0,0.08399249637699557
5,B6_Linear,0.29472484971056084,4,-0.22464407133382847,0.6175929333824071,-11.778261504982442,0.0,0.006467384371435152,0.4637467795362532,2.3910885832853297,0.016798499275399115,0.0,0.08399249637699557
5,B0_TickerMean,0.29847372683608975,5,-0.22089519420829956,0.576002944423997,-10.004708379054346,0.0,0.010216261496964014,0.42878174457121826,1.216321892407377,0.22386232504414916,0.0,0.4477246500882983
5,B7_DLinear,0.31858726526568265,6,-0.20078165577870669,0.542142068457858,-9.259095057634473,0.0,0.030329799926556923,0.389032020610968,2.817394245630689,0.004841505590772011,0.0,0.033856338620180004
5,B0_GlobalMean,0.32993627629582734,7,-0.18943264474856203,0.5432462274567538,-7.532975095763641,4.951594689828198e-14,0.04167881095670159,0.40853882959146115,2.817718469358689,0.004836619802882858,1.9806378759312793e-13,0.033856338620180004
5,B5_GARCH_Family,0.4864900942434476,8,-0.032878826800941716,0.35664335664335667,-1.070012616742186,0.28461362970385196,0.1982326289043219,0.22856091277143908,8.727420116032302,0.0,0.5692272594077039,0.0
5,B1_LastValue,0.5193689210443894,9,0.0,0.0,0.0,1.0,0.23111145570526362,0.3695252116304748,12.456181307787354,0.0,1.0,0.0
5,B6_MLP,0.8487724052806025,10,0.329403484236213,0.38571954361428046,3.309627451715219,0.0009342022326281896,0.5605149399414766,0.2881854987118145,5.664135973717637,1.4776720069775706e-08,0.0028026066978845687,1.1821376055820565e-07
10,B0_TickerMean,0.2987920805137139,1,-0.29873182965819445,0.5905334335086401,-7.682710836285666,1.554312234475219e-14,-0.0022149653716332725,0.43425995492111197,-0.1992787816992858,0.8420446760499847,9.325873406851315e-14,1.0
10,B4_HAR_Ridge,0.3005828292374218,2,-0.2969410809344866,0.6450037565740045,-9.978683346212884,0.0,-0.00042421664792541817,0.4996243425995492,-1.1480972336753523,0.2509284260564262,0.0,1.0
10,B3_HAR_OLS,0.3010070458853472,3,-0.29651686428656115,0.6435011269722013,-9.96194689663683,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,B6_Linear,0.3023134531871914,4,-0.29521045698471704,0.6329827197595793,-9.734350207157716,0.0,0.0013064073018441472,0.48084147257700977,0.5466202851519091,0.5846396298674863,0.0,1.0
10,B2_AR,0.3030329579613495,5,-0.2944909522105589,0.6359879789631856,-9.959907144156322,0.0,0.0020259120760022773,0.4898572501878287,1.043915263145325,0.2965245958557796,0.0,1.0
10,B0_GlobalMean,0.33005474813281394,6,-0.26746916203909443,0.5634861006761833,-5.776079887986227,7.646107968994897e-09,0.0290477022474667,0.4214876033057851,1.4452569110304787,0.14838573613675665,3.058443187597959e-08,0.8903144168205399
10,B7_DLinear,0.33137782792544657,7,-0.2661460822464618,0.5439519158527423,-5.902908120627325,3.571491991039011e-09,0.03037078204009939,0.38467317806160783,1.6726148649660717,0.09440313865167638,1.7857459955195054e-08,0.6608219705617346
10,B5_GARCH_Family,0.49578339588539955,8,-0.1017405142865088,0.35086401202103684,-1.8792061867493492,0.060216345209741284,0.19477635000005236,0.22126220886551465,6.920292305199325,4.5070613907682855e-12,0.12043269041948257,4.056355251691457e-11
10,B1_LastValue,0.5975239101719083,9,0.0,0.0,0.0,1.0,0.29651686428656115,0.35649887302779865,9.96194689663683,0.0,1.0,0.0
10,B6_MLP,0.8270238954453708,10,0.22949998527346246,0.4064613072877536,2.2360966711816306,0.025345439463625663,0.5260168495600236,0.2858752817430503,5.653392734752721,1.573112995423287e-08,0.07603631839087699,1.2584903963386296e-07
22,B2_AR,0.27911387729172993,1,-0.2901316845822617,0.6312252964426878,-11.744637675370546,0.0,-0.0016358343485911731,0.48616600790513836,-0.5800258786057816,0.5618971664344126,0.0,1.0
22,B4_HAR_Ridge,0.2803673477891711,2,-0.28887821408482056,0.6308300395256917,-12.123936339929188,0.0,-0.0003823638511499947,0.44466403162055335,-0.8674469871738292,0.385697146356879,0.0,1.0
22,B3_HAR_OLS,0.2807497116403211,3,-0.2884958502336705,0.6312252964426878,-12.199777388401639,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22,B6_Linear,0.28134405891806363,4,-0.287901502955928,0.6225296442687747,-11.761678238911774,0.0,0.000594347277742581,0.491699604743083,0.2937062452029649,0.7689823817092907,0.0,1.0
22,B0_TickerMean,0.2925428020981937,5,-0.27670275977579795,0.5984189723320158,-10.043423748392767,0.0,0.011793090457872607,0.40474308300395256,1.9475291273722293,0.05147133122401182,0.0,0.2573566561200591
22,B0_GlobalMean,0.32253128047235896,6,-0.24671428140163268,0.5664031620553359,-7.981565398143163,1.5543122344752192e-15,0.04178156883203789,0.4158102766798419,2.468529692800618,0.01356693959134847,6.217248937900877e-15,0.08140163754809082
22,B7_DLinear,0.3275615344193556,7,-0.24168402745463607,0.5664031620553359,-8.91884227658889,0.0,0.04681182277903448,0.42015810276679844,4.046214524262435,5.205253445228486e-05,0.0,0.000364367741165994
22,B5_GARCH_Family,0.5268129367722042,8,-0.04243262510178741,0.33201581027667987,-0.9861704929753239,0.3240494562276419,0.24606322513188314,0.18616600790513835,9.14238515574263,0.0,0.6480989124552838,0.0
22,B1_LastValue,0.5692455618739917,9,0.0,0.0,0.0,1.0,0.2884958502336705,0.36877470355731223,12.199777388401639,0.0,1.0,0.0
22,B6_MLP,0.8273674460992952,10,0.2581218842253036,0.3885375494071146,2.336610653849695,0.019459437992361606,0.5466177344589742,0.27865612648221344,5.077859072549422,3.817116485116401e-07,0.05837831397708482,3.0536931880931206e-06
