ticker,acf_1,acf_5,acf_22,acf_66
AAPL,0.5888115874992711,0.4155461355711711,0.2067819913838165,0.06774208061472792
ABBV,0.4827027563851377,0.3203077471312791,0.19888609426862727,0.06115316996791791
ABT,0.5258857281497503,0.3866692022246119,0.20659834801879617,0.05285156517643719
ACN,0.6170255042252579,0.4821879273860329,0.26547093048035936,0.11254616627889229
ADBE,0.5847502773099099,0.4352609606119916,0.22072804589025083,0.06961695627710746
ADI,0.5016911145167257,0.388192703238297,0.15103609565232698,-0.017874994688224056
AMAT,0.5017279538272958,0.34602050806603335,0.180482038331838,0.011282054895746988
AMD,0.4827640527112769,0.28181236174088475,0.1120227020735796,0.07158056328656427
AMGN,0.434740987262879,0.2874408901669436,0.14511448865877835,0.0394492492795389
AMZN,0.6370215336633591,0.5084301205533766,0.34781098210156386,0.2156696497134564
ANET,0.48518994280011896,0.29997696685174285,0.17004581827292212,0.059519367340985646
APH,0.5881713821190463,0.4395224321427993,0.228867092760778,0.06624589795864087
AVGO,0.5198766279739176,0.37536555174838326,0.10638235695424982,-0.03207356693176909
AXP,0.6424293623032981,0.5191800785594871,0.30653103327553977,0.20294590471744203
BA,0.6447652209931974,0.5340466119913578,0.3260221271391647,0.20615814515759254
BABA,0.616822089282125,0.4692984097209505,0.31739138215923246,0.22119927201736378
BAC,0.5850403120879936,0.4337197890808408,0.20348250227689754,0.052101454365523436
BKNG,0.625586159555342,0.4948626880084813,0.3358391164356093,0.1864169991324266
BLK,0.5927642059154765,0.4109150386566332,0.21663934910379556,0.05019705522042041
BN,0.6312086972236567,0.508674902140498,0.3552799971310005,0.1969467140580051
BRK,0.5764025052717214,0.4511982273915899,0.25463628622710205,0.11079710317797117
BSX,0.4901841992533113,0.3377508342369506,0.20210551988697759,0.008627013172895397
BX,0.5938065110673166,0.44974515078781735,0.2991401840425828,0.08856879555834904
C,0.5847156294006863,0.44865158928267906,0.2540210709336791,0.05466341686481783
CAT,0.4934708991348582,0.34247432832974883,0.13199241156091915,-0.0029824815423851302
CB,0.593333306442828,0.477214172709325,0.30349687130808967,0.1440195805312854
COF,0.6381006464642807,0.5306242493725918,0.33996372675031983,0.14771369470234913
COP,0.6306752403312526,0.5086915886883208,0.3175553007589648,0.14224081184947404
COST,0.5737297300516435,0.42207810774289606,0.23730547211863012,0.07047250904134467
CRM,0.5846449318095159,0.4068687324313037,0.22075014840024698,0.12839196723494073
CSCO,0.5593133241338365,0.4148591181363319,0.20616482367931122,0.09280911465645388
CVX,0.6576190291117165,0.5383704744018555,0.3493070746134484,0.1522602484862233
DE,0.5064035861068024,0.34338616082960555,0.1659237657717121,0.05631958319356024
DHR,0.49680630759855343,0.3128012197535108,0.15168952468343153,0.058860685689746166
DIS,0.6058501084381334,0.4250366144116515,0.2659044428341706,0.09996158683243361
ETN,0.5630037621609523,0.40179067696687226,0.22014193664720147,0.055528770714706396
GE,0.6076458209933655,0.4136072860900834,0.2385997996705467,0.1555046793123023
GILD,0.476925228890919,0.314411823753403,0.2228009932887859,0.06896960174195553
GOOGL,0.594413752803883,0.4740664132877367,0.30510076774337225,0.1125057210614879
GS,0.5606009939364984,0.35142839407812215,0.1545694949620804,0.07091471568894807
HD,0.5891637687824652,0.44524407583241404,0.237289213870757,0.07394604914180665
HON,0.5874810442439817,0.4557294793450725,0.2808228695916768,0.1053851299886733
IBKR,0.48595555601716633,0.12456301676824473,0.07646631655762103,0.06778841555085688
IBM,0.5727027820949103,0.4139078732384067,0.21821897306652074,0.06808736542742394
INTC,0.5305029541392573,0.393907974738164,0.21461444260454557,0.05048109799465755
INTU,0.5705898727252159,0.4501312155113706,0.27681081563899257,0.13488977628835708
ISRG,0.5310312528701623,0.3674333810883414,0.13253237942351967,0.049617469832566666
JNJ,0.4902775412552011,0.3049690283291202,0.15087102770311753,-0.004048756390765573
JPM,0.6333398346453915,0.49589333893873866,0.29947402538731205,0.09960472458070434
KKR,0.5813259527457422,0.413886873667402,0.23087204747730308,0.0834722674553798
KLAC,0.5009318101674431,0.35481007814938464,0.2197926761728446,0.02896202141897258
KO,0.5886010480341727,0.47778001659663305,0.2591110870186054,0.10198182879240662
LIN,0.5687442135849247,0.42638716046436276,0.21068810591124518,0.04353636042970559
LLY,0.4241191197071587,0.22716947300934118,0.11973183047095134,0.015952520100453272
LMT,0.6157575840840946,0.4539926976817989,0.2516627911524413,0.1161969352594756
LOW,0.5802500528281209,0.4276708608989192,0.22255226067376835,0.05225036994876134
LRCX,0.5437066980456845,0.3760260648657148,0.20137893804072157,0.025510732312988744
MA,0.5778179451533373,0.4575426189236285,0.24419940040233126,0.1215594215941511
MCD,0.6219961244910638,0.4585783629291919,0.23302831577223942,0.09073294505882842
MDT,0.5294058199217297,0.3756877010953299,0.2315688592480288,0.07327274753583088
META,0.5718814009953884,0.43182210630793344,0.2690388243112782,0.168699736994264
MRK,0.48365241699348566,0.29625002053722693,0.16884174977458238,-0.0013262501972792816
MS,0.6005406730288592,0.424453773634268,0.2032318784426352,0.042925601850628874
MSFT,0.5944120190409959,0.4413839034975072,0.25257258056540355,0.08008569722221227
MU,0.45585556288144735,0.3118729333044647,0.17547523508504026,0.03622705627226237
NEE,0.639051235381868,0.4818023878961168,0.23589549450421665,0.1038505078020216
NEM,0.5255247908288357,0.3914657930701784,0.23899441386566775,0.04233801448046453
NFLX,0.5693619929104728,0.4168665699113203,0.26458905417975304,0.15059339902274219
NOW,0.5469478244367398,0.42581311939180616,0.22040553553203435,0.09962348686765628
NVDA,0.5756072688879785,0.4061693116631839,0.24581572721066955,0.0639872507753919
ORCL,0.5632212149154939,0.3725937087129201,0.07979115397791121,0.0969896930251102
PANW,0.5073336672662195,0.33829715558726503,0.15613790855012838,0.06200797914163474
PDD,0.4810836552673107,0.37407901762070905,0.21798258681235128,0.1772442392374284
PEP,0.5551792742632996,0.41148894411367626,0.21708602649390532,0.04621931898086438
PFE,0.5471799520672513,0.3581265272909474,0.23297400812107188,0.09344561606051567
PG,0.5639661345747089,0.4076458131301294,0.22031288860660844,0.043981850837408305
PGR,0.5030521699876547,0.28076432881260854,0.14817810557788566,0.023175129735157556
PLD,0.5711344702063413,0.42623592807901167,0.2598803522874013,0.09449638583356457
PM,0.5109460383755302,0.3731682708313606,0.22634663632643875,0.04510197372842614
QCOM,0.5075032824192311,0.35261802505335127,0.19440983031072384,0.04755201065350585
RTX,0.6636801046488606,0.49988363123441687,0.3063311897130748,0.15009342826408836
SCCO,0.45298557942457546,0.3078914620208476,0.16574920129562784,0.011248263802691288
SCHW,0.5324069667321359,0.35683812820477484,0.14893675838480855,-0.023608818271597578
SHOP,0.558263244398304,0.4522249364155411,0.3177275864121124,0.1853167814431288
SPGI,0.5417405770444936,0.4106288157247741,0.21218731380654873,0.06337733789657743
SYK,0.5404927914467622,0.3860935788335958,0.24793578127126026,0.09009568781561915
T,0.5664205291970916,0.3654241103346869,0.14149695427465392,0.015081557318520516
TJX,0.6656143144449027,0.5346848119666503,0.3010056916976835,0.14914725754404207
TMO,0.46426826125171095,0.30170573940929735,0.1071346643542437,-0.0033698422115137666
TMUS,0.5562421017430631,0.39169759497650286,0.19873990961153903,0.03950998888950847
TSLA,0.5725761042633231,0.3915670498844739,0.2065158824694288,0.005839632494385013
TXN,0.4755061651753194,0.38120703048609983,0.14794552797232374,0.006275770280472665
UNH,0.5332084832891446,0.38338383278779387,0.22238715006512177,0.08142287621518118
UNP,0.5549285877223917,0.35477548839090395,0.14616421306407582,0.05657591529334764
V,0.5603477290637385,0.4249959358434623,0.24113994315425527,0.08746063684599757
VZ,0.5710357000688082,0.42981178286913385,0.22670327181956898,0.06928437190753686
WELL,0.6638541243737853,0.5479263809280388,0.34927086757841985,0.1775008387677099
WFC,0.597318510957732,0.4441176414847299,0.2981327264567718,0.14561221117591297
WMT,0.5697257705606719,0.3974635865831653,0.2372622584504566,0.10920494423993161
XOM,0.6589823256785287,0.5699849900173142,0.4030899839065778,0.2172476920732443
