split,model,ticker,n,qlike,residual_mse,residual_mae,final_mae,spike_qlike
validation,G0,ADI,4032,0.3439448293607513,0.1555152061814668,0.31211696080338164,0.31211696559238056,3.049468139217959
validation,G0,AMAT,4032,0.36174346291899057,0.1522138431515116,0.31063666481101415,0.31063667052085436,1.360008390036218
validation,G0,AMD,4032,0.35231328358493397,0.14821006780759688,0.30100794629021355,0.3010079475740592,0.9549894618612105
validation,G0,AVGO,4032,0.36230390778476723,0.16298118641065473,0.320618047926769,0.3206180450580423,2.906914594305044
validation,G0,INTC,4032,0.33950640840212276,0.1491672765666075,0.3090222764134061,0.30902227930842885,2.370586348977131
validation,G0,KLAC,4032,0.38772846009278455,0.16158878986635003,0.31910647332589426,0.3191064713848016,1.9477071916879185
validation,G0,LRCX,4032,0.36770654850052187,0.163261823004482,0.31777795125979913,0.3177779456452718,1.2707616567812534
validation,G0,MU,4032,0.3322302019576025,0.14868493330605626,0.3119192260336286,0.31191922369457425,1.1385041563100295
validation,G0,NVDA,4032,0.49368931194172755,0.17495063322817533,0.3270785922483363,0.327078594515721,1.4038253854959353
validation,G0,QCOM,4032,0.4159727396303659,0.17213148717696958,0.325071258490064,0.32507125495208633,2.9428169077427597
validation,G0,TXN,4032,0.3389136090266522,0.15435875601146623,0.31172294299804415,0.31172293992269606,3.4419811343133575
validation,G1,ADI,4032,0.35287762568903885,0.15067835837166846,0.3084221114844355,0.308422117301869,3.2070386127099293
validation,G1,AMAT,4032,0.36870564573665604,0.1497350359730227,0.30830807834753154,0.3083080836823062,1.4677349060304463
validation,G1,AMD,4032,0.3481832578274013,0.14315984414021418,0.29541112434696787,0.29541112624463584,0.9690601904237831
validation,G1,AVGO,4032,0.36509669000907613,0.15641725307906604,0.31520723732772615,0.3152072323220117,2.9853973845299597
validation,G1,INTC,4032,0.35187346914219453,0.15029774100212978,0.31052135524146973,0.310521356111008,2.6070148898225383
validation,G1,KLAC,4032,0.4053634738506365,0.15615686161830244,0.3126257907221034,0.3126257892165865,2.1548790768788924
validation,G1,LRCX,4032,0.38774992850925066,0.16230049747040212,0.3180655501930146,0.31806554260944564,1.4306032222179645
validation,G1,MU,4032,0.3273834095055828,0.14292326290874585,0.30465782751319975,0.3046578263479566,1.1596656379813535
validation,G1,NVDA,4032,0.518160791949074,0.17210720458566506,0.3228459526731238,0.3228459548027742,1.544361875994477
validation,G1,QCOM,4032,0.4255673531968306,0.1682243450570138,0.3234698627016473,0.3234698609818542,3.0505560496958863
validation,G1,TXN,4032,0.34878108314843054,0.14992992621506263,0.3073733567863735,0.3073733543592786,3.8675970720134774
validation,G2,ADI,8064,0.35362299963374333,0.15284619849612874,0.31047059363452,0.3104706011002972,3.165128632926643
validation,G2,AMAT,8064,0.37386554751158807,0.15193015825953116,0.31052059195480114,0.31052059600395815,1.4711362986808716
validation,G2,AMD,8064,0.3492583007453604,0.1449606258936838,0.2971695991741182,0.29716960225431693,0.9599369724378995
validation,G2,AVGO,8064,0.36452751108788617,0.15813435735522421,0.31644676592227444,0.31644676259112736,2.943856205835134
validation,G2,INTC,8064,0.35311787531881134,0.15251537784558603,0.3123303929446917,0.31233039406675195,2.5847500693660472
validation,G2,KLAC,8064,0.40471579896723964,0.15777375197377974,0.3139125307074181,0.31391252967573346,2.133431796864515
validation,G2,LRCX,8064,0.3895903173800644,0.16394199193646022,0.31914448374890714,0.31914447747643976,1.429375960397592
validation,G2,MU,8064,0.32858041437645863,0.1445442371633289,0.3070190539973347,0.3070190522287573,1.1443645395106283
validation,G2,NVDA,8064,0.5137899956096803,0.1727539619402954,0.3233032266996884,0.32330322978160686,1.5166896359311033
validation,G2,QCOM,8064,0.4263721832432014,0.17026862237346646,0.32553016728782436,0.32553016515596517,3.044945597758452
validation,G2,TXN,8064,0.34858375242798467,0.15111797496224383,0.30778142702869415,0.30778142289509847,3.7507085895387666
validation,G5,ADI,8064,0.35976351220425856,0.15259070053562077,0.30951277149591266,0.30951277760877494,3.6515842903304985
validation,G5,AMAT,8064,0.36924416508314145,0.15035355895685273,0.3076343600821149,0.3076343660848954,1.5106899593127872
validation,G5,AMD,8064,0.3628035432241701,0.14988485560356526,0.30276820501997764,0.30276820711081937,1.007807720644578
validation,G5,AVGO,8064,0.37338062725130317,0.16038852314633806,0.3197834289390588,0.3197834228002836,3.0169128052604663
validation,G5,INTC,8064,0.348219443360497,0.15385585665035,0.3150730452740961,0.3150730464489214,2.4252557064530116
validation,G5,KLAC,8064,0.40994730313542416,0.16016589525844258,0.31486320645903076,0.314863204187344,2.2005151735037454
validation,G5,LRCX,8064,0.38693352260968206,0.1635170061487391,0.3180196224241208,0.3180196151314747,1.4413953167881253
validation,G5,MU,8064,0.34271825550846013,0.14720524786205924,0.30806930362694634,0.30806930191696635,1.2609162960292337
validation,G5,NVDA,8064,0.5108828504657529,0.17471489274700328,0.3262067651775909,0.3262067689959492,1.5043835875466127
validation,G5,QCOM,8064,0.4369588527652986,0.17215842467418035,0.3245308829216067,0.3245308802477897,3.2407813255859437
validation,G5,TXN,8064,0.35346008947842983,0.15383094916948628,0.31068757905759486,0.3106875768493092,3.922764636808045
