split,model,n,qlike,residual_mse,residual_mae,final_mae,spike_qlike
validation,G0,44352,0.3723684330182927,0.15846036388284881,0.31509803096368644,0.31509803074262877,1.5089858816274841
validation,G1,44352,0.3817947935058338,0.15472093912920848,0.31153711339432666,0.31153711308906606,1.6161320627329934
validation,G2,88704,0.3823658814820017,0.15643520529088442,0.31305716664547933,0.3130571666572775,1.5999930070379018
validation,G5,88704,0.3867556513714926,0.1580605373411489,0.3142862882252773,0.31428628794386615,1.6525932413043378
